seed,condition,coverage_pct,cv,gini,max_age,mean_age,never_visited,detect_step,full_cov_step
1,SSE_only,100.0,1.020685707207254,0.4021764636864955,1879,1312.111111111111,0,368,955
1,SSE_Gap,100.0,0.2889137479927417,0.1659190853122252,756,708.5,0,368,656
1,SSE_PPS,100.0,0.22796275472388694,0.12571319334156827,726,681.7222222222222,0,368,633
1,Gap_only,100.0,0.2889137479927417,0.1659190853122252,756,708.5,0,368,656
2,SSE_only,100.0,3.1784788282658294,0.6350332982825098,1895,1643.7777777777778,0,324,1648
2,SSE_Gap,100.0,0.25679054585943323,0.14476156918017402,833,736.1388888888889,0,324,584
2,SSE_PPS,100.0,0.2994250189177279,0.16643175945501532,780,726.1666666666666,0,324,620
2,Gap_only,100.0,0.25679054585943323,0.14476156918017402,833,736.1388888888889,0,324,584
3,SSE_only,100.0,1.463466078865144,0.49994152046783635,1882,1438.5833333333333,0,364,1179
3,SSE_Gap,100.0,0.2658120963747344,0.1300891704798781,908,800.6388888888889,0,364,789
3,SSE_PPS,100.0,0.4536686952865492,0.21057726152763112,918,835.3888888888889,0,412,824
3,Gap_only,100.0,0.2658120963747344,0.1300891704798781,908,800.6388888888889,0,364,789
4,SSE_only,100.0,0.7582795549227027,0.3928481292195092,1762,1268.0833333333333,0,359,659
4,SSE_Gap,100.0,0.2794916814173352,0.15989543965734443,737,703.2777777777778,0,359,627
4,SSE_PPS,100.0,0.2591398432862804,0.1487948766483691,689,645.9444444444445,0,359,624
4,Gap_only,100.0,0.2794916814173352,0.15989543965734443,737,703.2777777777778,0,359,627
5,SSE_only,100.0,0.6167812421781266,0.34885478993759267,1674,1160.7222222222222,0,395,750
5,SSE_Gap,100.0,0.31493881811732044,0.1648319814600232,847,786.3611111111111,0,395,721
5,SSE_PPS,100.0,0.31493881811732044,0.1648319814600232,847,786.3611111111111,0,395,721
5,Gap_only,100.0,0.31493881811732044,0.1648319814600232,847,786.3611111111111,0,395,721
6,SSE_only,100.0,1.4995542591610806,0.5465816844241502,1750,1380,0,401,1202
6,SSE_Gap,100.0,0.6599612463453539,0.28876486675570834,905,821,0,401,812
6,SSE_PPS,100.0,0.46132161097774355,0.21593441579114936,798,718.7777777777778,0,401,689
6,Gap_only,100.0,0.6599612463453539,0.28876486675570834,905,821,0,401,812
7,SSE_only,100.0,1.311369053897902,0.4775573445786212,1733,1252.638888888889,0,594,985
7,SSE_Gap,100.0,0.9784338288909096,0.31852385526737126,1136,939.2777777777778,0,594,930
7,SSE_PPS,100.0,0.9763734719803258,0.2920671536588493,959,826.3055555555555,0,594,769
7,Gap_only,100.0,0.9784338288909096,0.31852385526737126,1136,939.2777777777778,0,594,930
8,SSE_only,100.0,0.9950215306219975,0.42151228307414934,1465,1102.3055555555557,0,278,840
8,SSE_Gap,100.0,0.3718750755416089,0.2094391962813016,830,741.8888888888889,0,278,654
8,SSE_PPS,100.0,0.28716018383686476,0.16333784698713627,781,708.0833333333334,0,278,649
8,Gap_only,100.0,0.3718750755416089,0.2094391962813016,830,741.8888888888889,0,278,654
9,SSE_only,100.0,0.7163934751882766,0.3876924071918253,1710,1131.0277777777778,0,473,775
9,SSE_Gap,100.0,0.3043274632542412,0.1595524511706119,898,798.6111111111111,0,473,743
9,SSE_PPS,100.0,0.3152728522024331,0.15972222222222232,904,821.0277777777778,0,396,733
9,Gap_only,100.0,0.3043274632542412,0.1595524511706119,898,798.6111111111111,0,473,743
10,SSE_only,100.0,0.9071924618965116,0.40744059471658045,1671,1190.9722222222222,0,238,714
10,SSE_Gap,100.0,0.5670219996155715,0.2507950705625126,955,811.1111111111111,0,238,736
10,SSE_PPS,100.0,0.6877888069327134,0.26819751610546594,822,770.8333333333334,0,238,719
10,Gap_only,100.0,0.5670219996155715,0.2507950705625126,955,811.1111111111111,0,238,736
11,SSE_only,100.0,0.7093484639306067,0.3642010341783328,1771,1229.3333333333333,0,333,836
11,SSE_Gap,100.0,0.2750473244878559,0.15053000189286392,833,750.5555555555555,0,333,603
11,SSE_PPS,100.0,1.166755511285401,0.32845727947653214,1166,1049.7222222222222,0,333,970
11,Gap_only,100.0,0.2750473244878559,0.15053000189286392,833,750.5555555555555,0,333,603
12,SSE_only,100.0,1.3361431004937454,0.46090415211486224,1721,1399.638888888889,0,284,1070
12,SSE_Gap,100.0,0.298059787038589,0.16738058151609558,826,758.25,0,284,590
12,SSE_PPS,100.0,0.34699604924046046,0.18847352024922137,877,775.0555555555555,0,284,673
12,Gap_only,100.0,0.298059787038589,0.16738058151609558,826,758.25,0,284,590
13,SSE_only,100.0,0.5742054498280472,0.296781940441883,1657,1210.9166666666667,0,380,863
13,SSE_Gap,100.0,0.33096388449917025,0.18324993584808835,755,702.1111111111111,0,380,652
13,SSE_PPS,100.0,0.29851962758422523,0.16264345707507855,813,760.4166666666666,0,380,625
13,Gap_only,100.0,0.33096388449917025,0.18324993584808835,755,702.1111111111111,0,380,652
14,SSE_only,100.0,0.7892470416492942,0.4037984192305182,1710,1154.388888888889,0,371,794
14,SSE_Gap,100.0,0.2052435020575992,0.11595550336008364,738,704,0,371,636
14,SSE_PPS,100.0,0.2567738976136804,0.14335812618255384,744,709.4722222222222,0,371,668
14,Gap_only,100.0,0.2052435020575992,0.11595550336008364,738,704,0,371,636
15,SSE_only,100.0,0.6207515352657141,0.3367239732569247,1753,1210.888888888889,0,313,821
15,SSE_Gap,100.0,0.6337924783594956,0.21880757258115757,926,859.0555555555555,0,313,914
15,SSE_PPS,100.0,0.5633675780416807,0.2534940600978337,893,783.9444444444445,0,321,789
15,Gap_only,100.0,0.6337924783594956,0.21880757258115757,926,859.0555555555555,0,313,914
16,SSE_only,100.0,0.8157499857422262,0.428947059169164,1878,1306.1944444444443,0,436,649
16,SSE_Gap,100.0,0.3035641035778113,0.16841286611492645,739,685.7777777777778,0,436,579
16,SSE_PPS,100.0,0.5179156334140844,0.23196057726152763,860,820.5833333333334,0,382,768
16,Gap_only,100.0,0.3035641035778113,0.16841286611492645,739,685.7777777777778,0,436,579
17,SSE_only,100.0,0.7109481105702485,0.35576131687242807,1850,1256.25,0,427,622
17,SSE_Gap,100.0,0.35185859192950225,0.1820725815953812,851,750.5277777777778,0,427,584
17,SSE_PPS,100.0,0.2656005753256749,0.15101224105461397,858,799.25,0,314,596
17,Gap_only,100.0,0.35185859192950225,0.1820725815953812,851,750.5277777777778,0,427,584
18,SSE_only,100.0,1.038266551939347,0.45122961264016315,1672,1349.25,0,290,938
18,SSE_Gap,100.0,1.0069582331874745,0.32726142665901703,893,839.4722222222222,0,290,885
18,SSE_PPS,100.0,0.29715600554598887,0.16767299214107734,683,655.1944444444445,0,290,651
18,Gap_only,100.0,1.0069582331874745,0.32726142665901703,893,839.4722222222222,0,290,885
19,SSE_only,100.0,0.7103295044057519,0.3881737618486736,1996,1335.9166666666667,0,327,687
19,SSE_Gap,100.0,0.32666268039644153,0.1791834677419355,897,801.9444444444445,0,327,672
19,SSE_PPS,100.0,0.29634972128720927,0.15503778337531493,717,696.0277777777778,0,327,686
19,Gap_only,100.0,0.32666268039644153,0.1791834677419355,897,801.9444444444445,0,327,672
20,SSE_only,100.0,0.6314599360843965,0.33213532681617797,1668,1186.138888888889,0,345,739
20,SSE_Gap,100.0,0.26198437331394914,0.14930355887802715,738,690.4444444444445,0,345,636
20,SSE_PPS,100.0,0.5049340381451093,0.225638569604087,953,857.8611111111111,0,480,811
20,Gap_only,100.0,0.26198437331394914,0.14930355887802715,738,690.4444444444445,0,345,636
21,SSE_only,100.0,0.9092254261000514,0.41248822975517907,1860,1219.3055555555557,0,474,854
