comparison,metric,Gap_only_mean,SSE_Gap_mean,SSE_PPS_mean,SSE_only_mean,n_pairs,wilcoxon_p
RUN_METADATA,terrain_source,,,,,,
SSE_only_vs_SSE_Gap,cv,,0.3879725639702954,,0.9850486291100813,30,3.725290298461914e-09
SSE_only_vs_SSE_Gap,gini,,0.18315207853879117,,0.4101043477330578,30,1.862645149230957e-09
SSE_only_vs_SSE_Gap,max_age,,834.5666666666667,,1735.5333333333333,30,1.733306644199106e-06
SSE_only_vs_SSE_Gap,mean_age,,756.0518518518519,,1263.7851851851851,30,1.862645149230957e-09
SSE_only_vs_SSE_Gap,never_visited,,0,,0,30,1.0
SSE_only_vs_SSE_Gap,detect_step,,368.8666666666667,,368.8666666666667,30,1.0
SSE_only_vs_SSE_Gap,full_cov_step,,697.3666666666667,,873.4,30,2.8392695174052517e-05
SSE_only_vs_SSE_PPS,cv,,,0.41091916138093754,0.9850486291100813,30,4.7124922275543213e-07
SSE_only_vs_SSE_PPS,gini,,,0.1881444833301016,0.4101043477330578,30,1.862645149230957e-09
SSE_only_vs_SSE_PPS,max_age,,,824.2333333333333,1735.5333333333333,30,1.7322162331441136e-06
SSE_only_vs_SSE_PPS,mean_age,,,756.9925925925926,1263.7851851851851,30,1.862645149230957e-09
SSE_only_vs_SSE_PPS,never_visited,,,0,0,30,1.0
SSE_only_vs_SSE_PPS,detect_step,,,365.5,368.8666666666667,30,0.5146697234497355
SSE_only_vs_SSE_PPS,full_cov_step,,,694.9666666666667,873.4,30,0.00013572562639200213
SSE_only_vs_Gap_only,cv,0.3879725639702954,,,0.9850486291100813,30,3.725290298461914e-09
SSE_only_vs_Gap_only,gini,0.18315207853879117,,,0.4101043477330578,30,1.862645149230957e-09
SSE_only_vs_Gap_only,max_age,834.5666666666667,,,1735.5333333333333,30,1.733306644199106e-06
SSE_only_vs_Gap_only,mean_age,756.0518518518519,,,1263.7851851851851,30,1.862645149230957e-09
SSE_only_vs_Gap_only,never_visited,0,,,0,30,1.0
SSE_only_vs_Gap_only,detect_step,368.8666666666667,,,368.8666666666667,30,1.0
SSE_only_vs_Gap_only,full_cov_step,697.3666666666667,,,873.4,30,2.8392695174052517e-05
SSE_Gap_vs_SSE_PPS,cv,,0.3879725639702954,0.41091916138093754,,30,0.5090155988275284
SSE_Gap_vs_SSE_PPS,gini,,0.18315207853879117,0.1881444833301016,,30,0.6004574855558895
SSE_Gap_vs_SSE_PPS,max_age,,834.5666666666667,824.2333333333333,,30,0.5089744015789976
SSE_Gap_vs_SSE_PPS,mean_age,,756.0518518518519,756.9925925925926,,30,0.698671667179475
SSE_Gap_vs_SSE_PPS,never_visited,,0,0,,30,1.0
SSE_Gap_vs_SSE_PPS,detect_step,,368.8666666666667,365.5,,30,0.5146697234497355
SSE_Gap_vs_SSE_PPS,full_cov_step,,697.3666666666667,694.9666666666667,,30,0.5887957415092151
Gap_only_vs_SSE_Gap,cv,0.3879725639702954,0.3879725639702954,,,30,1.0
Gap_only_vs_SSE_Gap,gini,0.18315207853879117,0.18315207853879117,,,30,1.0
Gap_only_vs_SSE_Gap,max_age,834.5666666666667,834.5666666666667,,,30,1.0
Gap_only_vs_SSE_Gap,mean_age,756.0518518518519,756.0518518518519,,,30,1.0
Gap_only_vs_SSE_Gap,never_visited,0,0,,,30,1.0
Gap_only_vs_SSE_Gap,detect_step,368.8666666666667,368.8666666666667,,,30,1.0
Gap_only_vs_SSE_Gap,full_cov_step,697.3666666666667,697.3666666666667,,,30,1.0
